Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5328505,-,b'Boyacá',b'Colombia',6.44,-72.29,-5,4889,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DHI,Temperature,GHI,DNI,Surface Albedo,Solar Zenith Angle
2022,1,1,0,0,0,-2.5,0,0,0.44,163.34
2022,1,1,1,0,0,-2.7,0,0,0.44,156.81
2022,1,1,2,0,0,-2.8000000000000003,0,0,0.44,145.17000000000002
2022,1,1,3,0,0,-3.1,0,0,0.44,132.03
2022,1,1,4,0,0,-3.6,0,0,0.44,118.4
2022,1,1,5,0,0,-4.1000000000000005,0,0,0.44,104.61
2022,1,1,6,0,0,-4.1000000000000005,0,0,0.44,90.84
2022,1,1,7,0,53,-2.4000000000000004,209,704,0.44,77.19
2022,1,1,8,0,314,-0.2,358,100,0.44,63.97
2022,1,1,9,0,457,2,574,187,0.44,51.43
2022,1,1,10,0,520,3.8000000000000003,767,324,0.44,40.300000000000004
2022,1,1,11,0,600,4.800000000000001,733,156,0.44,32.11
2022,1,1,12,0,542,4.9,551,11,0.44,29.45
2022,1,1,13,0,572,4.9,647,89,0.44,33.67
2022,1,1,14,0,315,4.3,321,8,0.44,42.77
2022,1,1,15,0,38,3.2,38,0,0.44,54.34
2022,1,1,16,0,220,1.7000000000000002,243,57,0.44,67.09
2022,1,1,17,0,7,-0.1,7,0,0.44,80.42
2022,1,1,18,0,0,-1.5,0,0,0.44,94.13
2022,1,1,19,0,0,-2.2,0,0,0.44,107.92
2022,1,1,20,0,0,-2.7,0,0,0.44,121.7
