# CRaTER (GCR+SEP) dose rates for individual and combined detectors
#    from 2020-12-31 DOY:366
# through 2021-12-31 DOY:365
#
# Columns are separated by a tab character.
# All dose rate units: cGy / day
# All dose rates have a silicon to water correction applied and are altitude corrected to the lunar surface.
#
# column_titles: Julian Date,Year,DOY,Year Fraction,H2O Factor,Altitude Factor,Good Event Factor,D1&2 dose rate,D3&4 dose rate,D5&6 dose rate,D1 dose rate,D2 dose rate,D3 dose rate,D4 dose rate,D5 dose rate,D6 dose rate
# column_units: ,,,,,,,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day
# start_year: 2020
# start_doy: 366
# end_year: 2021
# end_doy: 365
#
# Julian Date	Year	DOY	Year Fraction	H2O	Alt.	GE	D1&2 dose rate	D3&4 dose rate	D5&6 dose rate	D1 dose rate	D2 dose rate	D3 dose rate	D4 dose rate	D5 dose rate	D6 dose rate
2459214.520833	2020	366	2020.9973247	1.333	0.783	1.000	3.2548e-02	3.2554e-02	3.0819e-02	1.7491e-02	2.8433e-02	1.7555e-02	2.7189e-02	1.5317e-02	2.8268e-02
2459214.562500	2020	366	2020.9974385	1.333	0.741	1.000	3.0302e-02	3.0207e-02	3.0489e-02	1.5607e-02	2.7644e-02	1.5453e-02	2.6883e-02	1.5396e-02	2.7256e-02
2459214.604166	2020	366	2020.9975524	1.333	0.780	1.000	3.1950e-02	3.1229e-02	2.9661e-02	1.6623e-02	2.8219e-02	1.5832e-02	2.7273e-02	1.4124e-02	2.7535e-02
2459214.645833	2020	366	2020.9976662	1.333	0.742	1.000	3.2688e-02	3.0813e-02	3.1305e-02	1.7918e-02	2.7801e-02	1.6249e-02	2.6942e-02	1.6349e-02	2.7313e-02
2459214.687500	2020	366	2020.9977801	1.333	0.778	1.000	3.1218e-02	3.1184e-02	3.1178e-02	1.6230e-02	2.8536e-02	1.6079e-02	2.6986e-02	1.5654e-02	2.8117e-02
2459214.729166	2020	366	2020.9978939	1.333	0.744	1.000	3.1477e-02	3.0333e-02	3.0828e-02	1.6896e-02	2.8175e-02	1.5837e-02	2.6698e-02	1.5912e-02	2.7764e-02
2459214.770833	2020	366	2020.9980077	1.333	0.775	1.000	3.0850e-02	2.9685e-02	3.0788e-02	1.6241e-02	2.8004e-02	1.4685e-02	2.6960e-02	1.5127e-02	2.7473e-02
2459214.812500	2020	366	2020.9981216	1.333	0.746	1.000	3.0731e-02	3.2284e-02	2.9980e-02	1.5796e-02	2.7854e-02	1.7434e-02	2.6737e-02	1.5059e-02	2.6624e-02
2459214.854166	2020	366	2020.9982354	1.333	0.772	1.000	3.1699e-02	3.0875e-02	3.0777e-02	1.6636e-02	2.8244e-02	1.5791e-02	2.7092e-02	1.5379e-02	2.7281e-02
2459214.895833	2020	366	2020.9983493	1.333	0.749	1.000	3.1060e-02	3.1200e-02	2.9825e-02	1.6465e-02	2.7547e-02	1.6342e-02	2.7110e-02	1.4562e-02	2.7481e-02
