Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4729472,-,b'Cauca',b'Colombia',2.94,-76.03,-5,4881,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Surface Albedo,Temperature,Solar Zenith Angle
2021,1,1,0,0,0,0,0,0.21,-3,159.87
2021,1,1,1,0,0,0,0,0.21,-3.1,156.29
2021,1,1,2,0,0,0,0,0.21,-3.2,146.23
2021,1,1,3,0,0,0,0,0.21,-3.4000000000000004,133.77
2021,1,1,4,0,0,0,0,0.21,-3.6,120.42
2021,1,1,5,0,0,0,0,0.21,-3.7,106.73
2021,1,1,6,0,0,0,0,0.21,-3.5,92.94
2021,1,1,7,0,71,312,129,0.21,-2.5,79.14
2021,1,1,8,0,97,774,416,0.21,-1.8,65.62
2021,1,1,9,0,332,259,489,0.21,-1.2000000000000002,52.57
2021,1,1,10,0,384,47,419,0.21,-0.5,40.51
2021,1,1,11,0,186,21,204,0.21,0.30000000000000004,30.72
2021,1,1,12,0,277,24,299,0.21,1.2000000000000002,25.95
2021,1,1,13,0,318,24,339,0.21,1.9000000000000001,28.82
2021,1,1,14,0,368,34,395,0.21,2.1,37.62
2021,1,1,15,0,161,17,172,0.21,1.8,49.26
2021,1,1,16,0,144,13,150,0.21,1.2000000000000002,62.120000000000005
2021,1,1,17,0,107,80,127,0.21,-0.2,75.55
2021,1,1,18,0,0,0,0,0.21,-1.8,89.08
2021,1,1,19,0,0,0,0,0.21,-2.2,103.11
