Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4729472,-,b'Cauca',b'Colombia',2.94,-76.03,-5,4881,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Surface Albedo,Temperature,Solar Zenith Angle
2022,1,1,0,0,0,0,0,0.21,-2.6,159.86
2022,1,1,1,0,0,0,0,0.21,-3,156.26
2022,1,1,2,0,0,0,0,0.21,-3.2,146.19
2022,1,1,3,0,0,0,0,0.21,-3.4000000000000004,133.73
2022,1,1,4,0,0,0,0,0.21,-3.6,120.39
2022,1,1,5,0,0,0,0,0.21,-3.7,106.7
2022,1,1,6,0,0,0,0,0.21,-3.2,92.91
2022,1,1,7,0,97,218,138,0.21,-1.5,79.11
2022,1,1,8,0,210,291,330,0.21,0.2,65.6
2022,1,1,9,0,315,315,506,0.21,2,52.550000000000004
2022,1,1,10,0,364,441,699,0.21,3.5,40.5
2022,1,1,11,0,428,55,475,0.21,4.6000000000000005,30.72
2022,1,1,12,0,372,10,380,0.21,5.2,25.97
2022,1,1,13,0,373,10,381,0.21,5.4,28.86
2022,1,1,14,0,402,47,439,0.21,4.800000000000001,37.660000000000004
2022,1,1,15,0,116,0,116,0.21,3.8000000000000003,49.29
2022,1,1,16,0,179,24,190,0.21,2.4000000000000004,62.160000000000004
2022,1,1,17,0,9,0,9,0.21,0.7000000000000001,75.59
2022,1,1,18,0,0,0,0,0.21,-0.9,89.11
2022,1,1,19,0,0,0,0,0.21,-1.6,103.14
2022,1,1,20,0,0,0,0,0.21,-2.1,116.88
2022,1,1,21,0,0,0,0,0.21,-2.4000000000000004,130.35
2022,1,1,22,0,0,0,0,0.21,-2.8000000000000003,143.14000000000001
2022,1,1,23,0,0,0,0,0.21,-3.1,154.11
2022,1,2,0,0,0,0,0,0.21,-3.5,159.93
2022,1,2,1,0,0,0,0,0.21,-3.8000000000000003,156.39000000000001
2022,1,2,2,0,0,0,0,0.21,-4.2,146.33
2022,1,2,3,0,0,0,0,0.21,-4.6000000000000005,133.86
2022,1,2,4,0,0,0,0,0.21,-5.1000000000000005,120.51
2022,1,2,5,0,0,0,0,0.21,-5.5,106.82000000000001
2022,1,2,6,0,0,0,0,0.21,-4.7,93.01
2022,1,2,7,0,84,391,158,0.21,-1.8,79.2
2022,1,2,8,0,275,103,317,0.21,0.7000000000000001,65.68
2022,1,2,9,0,385,274,551,0.21,2.9000000000000004,52.61
2022,1,2,10,0,467,358,739,0.21,4.4,40.53
2022,1,2,11,0,569,243,778,0.21,5.300000000000001,30.71
2022,1,2,12,0,510,480,942,0.21,5.800000000000001,25.89
2022,1,2,13,0,490,205,670,0.21,5.800000000000001,28.73
2022,1,2,14,0,164,1,165,0.21,5.4,37.52
2022,1,2,15,0,114,0,114,0.21,4.5,49.160000000000004
2022,1,2,16,0,167,1,168,0.21,3.1,62.03
2022,1,2,17,0,37,0,37,0.21,1.1,75.47
2022,1,2,18,0,0,0,0,0.21,-1,89
2022,1,2,19,0,0,0,0,0.21,-1.8,103.04
2022,1,2,20,0,0,0,0,0.21,-2.5,116.79
2022,1,2,21,0,0,0,0,0.21,-3.1,130.28
2022,1,2,22,0,0,0,0,0.21,-3.5,143.09
2022,1,2,23,0,0,0,0,0.21,-4,154.11
2022,1,3,0,0,0,0,0,0.21,-4.5,160.01
2022,1,3,1,0,0,0,0,0.21,-5,156.53
2022,1,3,2,0,0,0,0,0.21,-5.4,146.47
2022,1,3,3,0,0,0,0,0.21,-5.800000000000001,133.99
2022,1,3,4,0,0,0,0,0.21,-6.1000000000000005,120.64
2022,1,3,5,0,0,0,0,0.21,-6.4,106.93
2022,1,3,6,0,0,0,0,0.21,-5.7,93.12
2022,1,3,7,0,77,1,78,0.21,-2.6,79.3
2022,1,3,8,0,128,682,408,0.21,0,65.76
2022,1,3,9,0,397,198,517,0.21,2.4000000000000004,52.67
2022,1,3,10,0,474,333,727,0.21,4.1000000000000005,40.56
2022,1,3,11,0,212,0,212,0.21,5.2,30.69
2022,1,3,12,0,412,2,414,0.21,5.6000000000000005,25.8
2022,1,3,13,0,461,6,466,0.21,5.6000000000000005,28.59
2022,1,3,14,0,259,0,259,0.21,5.1000000000000005,37.38
2022,1,3,15,0,74,0,74,0.21,4.1000000000000005,49.02
2022,1,3,16,0,226,7,229,0.21,2.8000000000000003,61.9
2022,1,3,17,0,49,0,49,0.21,0.9,75.34
2022,1,3,18,0,7,0,7,0.21,-1.1,88.9
2022,1,3,19,0,0,0,0,0.21,-1.8,102.93
2022,1,3,20,0,0,0,0,0.21,-2.3000000000000003,116.7
2022,1,3,21,0,0,0,0,0.21,-2.7,130.2
2022,1,3,22,0,0,0,0,0.21,-3,143.04
2022,1,3,23,0,0,0,0,0.21,-3.3000000000000003,154.11
2022,1,4,0,0,0,0,0,0.21,-3.5,160.1
2022,1,4,1,0,0,0,0,0.21,-3.8000000000000003,156.67000000000002
2022,1,4,2,0,0,0,0,0.21,-4.2,146.62
2022,1,4,3,0,0,0,0,0.21,-4.4,134.13
2022,1,4,4,0,0,0,0,0.21,-4.5,120.76
2022,1,4,5,0,0,0,0,0.21,-4.6000000000000005,107.04
2022,1,4,6,0,0,0,0,0.21,-4,93.22
2022,1,4,7,0,101,7,103,0.21,-2.2,79.39
2022,1,4,8,0,273,119,322,0.21,-0.7000000000000001,65.84
2022,1,4,9,0,385,284,557,0.21,1.4000000000000001,52.730000000000004
2022,1,4,10,0,429,21,445,0.21,3.1,40.59
2022,1,4,11,0,290,4,293,0.21,4.2,30.66
2022,1,4,12,0,243,1,245,0.21,4.5,25.7
2022,1,4,13,0,155,0,155,0.21,4.4,28.45
2022,1,4,14,0,41,0,41,0.21,3.9000000000000004,37.230000000000004
2022,1,4,15,0,75,0,75,0.21,3,48.88
2022,1,4,16,0,10,0,10,0.21,1.7000000000000002,61.77
