Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4828745,-,b'Tolima',b'Colombia',4.88,-75.33,-5,5062,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DHI,GHI,Surface Albedo,Solar Zenith Angle,DNI,Temperature,Clearsky DNI,Clearsky GHI,Clearsky DHI
2022,1,1,0,0,0,0,0.35000000000000003,161.84,0,-5.2,0,0,0
2022,1,1,1,0,0,0,0.35000000000000003,157.5,0,-5.4,0,0,0
2022,1,1,2,0,0,0,0.35000000000000003,146.82,0,-5.6000000000000005,0,0,0
2022,1,1,3,0,0,0,0.35000000000000003,134.04,0,-5.800000000000001,0,0,0
2022,1,1,4,0,0,0,0.35000000000000003,120.56,0,-6,0,0,0
2022,1,1,5,0,0,0,0.35000000000000003,106.81,0,-6.2,0,0,0
2022,1,1,6,0,0,0,0.35000000000000003,93.02,0,-6.1000000000000005,0,0,0
2022,1,1,7,0,95,99,0.35000000000000003,79.27,21,-5,719,172,38
2022,1,1,8,0,283,340,0.35000000000000003,65.87,139,-4.4,932,440,59
2022,1,1,9,0,68,687,0.35000000000000003,53.01,1028,-3.8000000000000003,1028,687,68
2022,1,1,10,0,71,883,0.35000000000000003,41.29,1081,-2.9000000000000004,1081,883,71
2022,1,1,11,0,168,168,0.35000000000000003,32.04,0,-1.4000000000000001,1099,1009,77
2022,1,1,12,0,190,190,0.35000000000000003,27.86,0,-0.1,1109,1057,77
2022,1,1,13,0,219,219,0.35000000000000003,30.91,0,0.6000000000000001,1082,1019,91
2022,1,1,14,0,334,342,0.35000000000000003,39.53,10,0.5,1061,905,87
