Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4819925,-,b'Tolima',b'Colombia',4.48,-75.39,-5,2321,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,DNI,GHI,Surface Albedo,Solar Zenith Angle
2021,1,1,0,0,0,12.9,0,0,0,0,0,0.14,161.46
2021,1,1,1,0,0,12.700000000000001,0,0,0,0,0,0.14,157.24
2021,1,1,2,0,0,12.5,0,0,0,0,0,0.14,146.66
2021,1,1,3,0,0,12.3,0,0,0,0,0,0.14,133.95
2021,1,1,4,0,0,12.100000000000001,0,0,0,0,0,0.14,120.48
2021,1,1,5,0,0,12.100000000000001,0,0,0,0,0,0.14,106.74000000000001
2021,1,1,6,0,0,12.3,0,0,0,0,0,0.14,92.95
2021,1,1,7,0,18,13.4,74,325,135,0,18,0.14,79.17
2021,1,1,8,0,167,14.700000000000001,115,638,377,36,182,0.14,65.76
2021,1,1,9,0,307,16,134,787,609,173,412,0.14,52.86
2021,1,1,10,0,279,17.3,184,790,780,22,295,0.14,41.07
2021,1,1,11,0,180,18.1,200,820,898,14,191,0.14,31.720000000000002
2021,1,1,12,0,355,18.400000000000002,205,833,944,26,378,0.14,27.44
2021,1,1,13,0,317,18.5,216,799,905,22,337,0.14,30.48
2021,1,1,14,0,376,18.2,218,742,793,55,419,0.14,39.160000000000004
2021,1,1,15,0,193,17.7,194,676,622,12,200,0.14,50.65
2021,1,1,16,0,43,17,167,519,399,0,43,0.14,63.410000000000004
2021,1,1,17,0,102,15.9,102,276,165,276,165,0.14,76.76
2021,1,1,18,0,0,14.9,0,0,0,0,0,0.14,90.08
2021,1,1,19,0,0,14.600000000000001,0,0,0,0,0,0.14,104.29
2021,1,1,20,0,0,14.200000000000001,0,0,0,0,0,0.14,118.06
2021,1,1,21,0,0,13.8,0,0,0,0,0,0.14,131.61
2021,1,1,22,0,0,13.4,0,0,0,0,0,0.14,144.53
2021,1,1,23,0,0,13,0,0,0,0,0,0.14,155.71
2021,1,2,0,0,0,12.700000000000001,0,0,0,0,0,0.14,161.54
2021,1,2,1,0,0,12.4,0,0,0,0,0,0.14,157.38
2021,1,2,2,0,0,12.200000000000001,0,0,0,0,0,0.14,146.8
2021,1,2,3,0,0,12.100000000000001,0,0,0,0,0,0.14,134.07
2021,1,2,4,0,0,11.9,0,0,0,0,0,0.14,120.60000000000001
2021,1,2,5,0,0,11.700000000000001,0,0,0,0,0,0.14,106.86
2021,1,2,6,0,0,11.9,0,0,0,0,0,0.14,93.05
2021,1,2,7,0,46,13.600000000000001,46,568,151,568,151,0.14,79.26
2021,1,2,8,0,69,15.200000000000001,69,808,400,808,400,0.14,65.83
2021,1,2,9,0,84,16.8,84,910,633,910,633,0.14,52.92
2021,1,2,10,0,93,18.3,93,961,817,961,817,0.14,41.1
2021,1,2,11,0,425,19,101,983,938,57,474,0.14,31.7
2021,1,2,12,0,422,19.3,101,996,986,43,459,0.14,27.36
2021,1,2,13,0,285,19.5,106,981,952,20,302,0.14,30.35
2021,1,2,14,0,375,18.900000000000002,101,954,842,53,416,0.14,39.02
2021,1,2,15,0,240,18,91,909,669,22,254,0.14,50.51
2021,1,2,16,0,189,16.900000000000002,81,804,442,369,355,0.14,63.28
2021,1,2,17,0,80,15.5,55,613,196,358,163,0.14,76.64
2021,1,2,18,0,0,14.4,0,0,0,0,0,0.14,89.98
2021,1,2,19,0,0,13.8,0,0,0,0,0,0.14,104.19
2021,1,2,20,0,0,13.3,0,0,0,0,0,0.14,117.97
2021,1,2,21,0,0,12.8,0,0,0,0,0,0.14,131.53
2021,1,2,22,0,0,12.5,0,0,0,0,0,0.14,144.48
2021,1,2,23,0,0,12.3,0,0,0,0,0,0.14,155.71
2021,1,3,0,0,0,12.100000000000001,0,0,0,0,0,0.14,161.62
2021,1,3,1,0,0,11.8,0,0,0,0,0,0.14,157.52
2021,1,3,2,0,0,11.600000000000001,0,0,0,0,0,0.14,146.94
2021,1,3,3,0,0,11.3,0,0,0,0,0,0.14,134.2
2021,1,3,4,0,0,11.200000000000001,0,0,0,0,0,0.14,120.72
2021,1,3,5,0,0,11,0,0,0,0,0,0.14,106.97
2021,1,3,6,0,0,11.200000000000001,0,0,0,0,0,0.14,93.15
2021,1,3,7,0,40,12.5,49,536,148,0,40,0.14,79.35000000000001
2021,1,3,8,0,78,13.700000000000001,77,779,395,0,78,0.14,65.91
2021,1,3,9,0,306,15.3,90,893,628,177,413,0.14,52.97
2021,1,3,10,0,196,16.8,119,910,805,14,206,0.14,41.12
2021,1,3,11,0,282,17.8,130,935,925,20,299,0.14,31.67
2021,1,3,12,0,354,18.2,133,943,971,25,376,0.14,27.27
2021,1,3,13,0,403,18,148,908,933,41,439,0.14,30.22
2021,1,3,14,0,39,17.5,152,860,822,0,39,0.14,38.88
2021,1,3,15,0,40,16.6,135,805,648,0,40,0.14,50.370000000000005
2021,1,3,16,0,171,15.8,127,650,420,466,381,0.14,63.15
2021,1,3,17,0,80,15.100000000000001,80,438,182,438,182,0.14,76.52
2021,1,3,18,0,0,14.5,0,0,0,0,0,0.14,89.88
2021,1,3,19,0,0,14.200000000000001,0,0,0,0,0,0.14,104.09
2021,1,3,20,0,0,13.9,0,0,0,0,0,0.14,117.88
2021,1,3,21,0,0,13.600000000000001,0,0,0,0,0,0.14,131.45
2021,1,3,22,0,0,13.3,0,0,0,0,0,0.14,144.43
