Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4882420,-,b'Caldas',b'Colombia',5.66,-74.97,-5,871,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DHI,Clearsky GHI,Clearsky DNI,GHI,DNI,Clearsky DHI,Temperature,Solar Zenith Angle,Surface Albedo
2022,1,1,0,0,0,0,0,0,0,0,20.700000000000003,162.64000000000001,0.14
2022,1,1,1,0,0,0,0,0,0,0,20.6,157.92000000000002,0.14
2022,1,1,2,0,0,0,0,0,0,0,20.6,146.97,0.14
2022,1,1,3,0,0,0,0,0,0,0,20.5,134.08,0.14
2022,1,1,4,0,0,0,0,0,0,0,20.3,120.54,0.14
2022,1,1,5,0,0,0,0,0,0,0,20.200000000000003,106.78,0.14
2022,1,1,6,0,0,0,0,0,0,0,20.200000000000003,92.99,0.14
2022,1,1,7,0,21,117,178,21,0,84,20.900000000000002,79.24,0.14
2022,1,1,8,0,62,336,430,62,0,161,21.400000000000002,65.91,0.14
2022,1,1,9,0,171,556,611,171,0,190,22.200000000000003,53.15,0.14
2022,1,1,10,0,162,749,786,162,0,161,22.900000000000002,41.58,0.14
2022,1,1,11,0,476,867,835,702,268,163,24.5,32.55,0.14
2022,1,1,12,0,154,916,867,916,867,154,26.6,28.63,0.14
2022,1,1,13,0,173,875,826,875,826,173,27.700000000000003,31.76,0.14
2022,1,1,14,0,160,771,802,771,802,160,28,40.34,0.14
2022,1,1,15,0,363,602,741,441,125,143,27.8,51.7,0.14
2022,1,1,16,0,157,386,617,158,2,119,27.1,64.37,0.14
2022,1,1,17,0,104,155,368,105,6,76,25.6,77.66,0.14
2022,1,1,18,0,0,0,0,0,0,0,23.900000000000002,91.37,0.14
2022,1,1,19,0,0,0,0,0,0,0,22.700000000000003,105.16,0.14
2022,1,1,20,0,0,0,0,0,0,0,22,118.94,0.14
2022,1,1,21,0,0,0,0,0,0,0,21.6,132.53,0.14
2022,1,1,22,0,0,0,0,0,0,0,21.3,145.55,0.14
2022,1,1,23,0,0,0,0,0,0,0,20.8,156.89000000000001,0.14
2022,1,2,0,0,0,0,0,0,0,0,20.400000000000002,162.72,0.14
2022,1,2,1,0,0,0,0,0,0,0,20.200000000000003,158.06,0.14
2022,1,2,2,0,0,0,0,0,0,0,20,147.11,0.14
2022,1,2,3,0,0,0,0,0,0,0,19.8,134.21,0.14
2022,1,2,4,0,0,0,0,0,0,0,19.8,120.66,0.14
2022,1,2,5,0,0,0,0,0,0,0,19.900000000000002,106.89,0.14
2022,1,2,6,0,0,0,0,0,0,0,20.1,93.09,0.14
2022,1,2,7,0,47,115,170,47,0,83,20.900000000000002,79.33,0.14
2022,1,2,8,0,109,334,426,109,0,161,21.700000000000003,65.99,0.14
2022,1,2,9,0,362,554,610,432,116,189,22.8,53.2,0.14
2022,1,2,10,0,437,745,770,544,143,169,24.200000000000003,41.6,0.14
2022,1,2,11,0,444,865,828,535,107,167,25.5,32.53,0.14
2022,1,2,12,0,506,915,861,678,196,159,25.8,28.54,0.14
2022,1,2,13,0,437,886,864,494,67,150,25.400000000000002,31.63,0.14
2022,1,2,14,0,371,784,848,696,426,136,24.900000000000002,40.2,0.14
2022,1,2,15,0,120,617,799,617,799,120,24.400000000000002,51.56,0.14
2022,1,2,16,0,97,401,699,401,699,97,23.8,64.24,0.14
2022,1,2,17,0,113,165,469,140,125,64,23,77.54,0.14
2022,1,2,18,0,0,0,0,0,0,0,22,91.26,0.14
2022,1,2,19,0,0,0,0,0,0,0,21.6,105.05,0.14
2022,1,2,20,0,0,0,0,0,0,0,21.400000000000002,118.85000000000001,0.14
2022,1,2,21,0,0,0,0,0,0,0,21.200000000000003,132.45,0.14
2022,1,2,22,0,0,0,0,0,0,0,21,145.49,0.14
2022,1,2,23,0,0,0,0,0,0,0,20.8,156.88,0.14
2022,1,3,0,0,0,0,0,0,0,0,20.6,162.81,0.14
2022,1,3,1,0,0,0,0,0,0,0,20.400000000000002,158.20000000000002,0.14
2022,1,3,2,0,0,0,0,0,0,0,20.200000000000003,147.25,0.14
2022,1,3,3,0,0,0,0,0,0,0,20,134.34,0.14
2022,1,3,4,0,0,0,0,0,0,0,19.900000000000002,120.78,0.14
2022,1,3,5,0,0,0,0,0,0,0,19.700000000000003,107,0.14
2022,1,3,6,0,0,0,0,0,0,0,19.700000000000003,93.19,0.14
2022,1,3,7,0,70,125,299,125,299,70,20.400000000000002,79.42,0.14
2022,1,3,8,0,153,353,567,154,2,123,21.5,66.06,0.14
2022,1,3,9,0,26,574,708,26,0,150,23.200000000000003,53.26,0.14
2022,1,3,10,0,428,769,863,554,169,124,25.400000000000002,41.62,0.14
2022,1,3,11,0,411,889,902,494,98,128,27.1,32.5,0.14
2022,1,3,12,0,403,936,920,828,484,126,28.1,28.45,0.14
2022,1,3,13,0,166,886,845,886,845,166,28.5,31.5,0.14
2022,1,3,14,0,146,786,836,786,836,146,28.5,40.050000000000004,0.14
2022,1,3,15,0,126,619,791,619,791,126,28,51.42,0.14
2022,1,3,16,0,103,402,686,402,686,103,27.1,64.11,0.14
2022,1,3,17,0,68,166,452,166,452,68,25.400000000000002,77.41,0.14
2022,1,3,18,0,0,0,0,0,0,0,23.900000000000002,91.14,0.14
2022,1,3,19,0,0,0,0,0,0,0,23.1,104.95,0.14
2022,1,3,20,0,0,0,0,0,0,0,22.5,118.75,0.14
2022,1,3,21,0,0,0,0,0,0,0,21.900000000000002,132.37,0.14
2022,1,3,22,0,0,0,0,0,0,0,21.200000000000003,145.44,0.14
2022,1,3,23,0,0,0,0,0,0,0,20.5,156.88,0.14
2022,1,4,0,0,0,0,0,0,0,0,20,162.9,0.14
2022,1,4,1,0,0,0,0,0,0,0,19.700000000000003,158.34,0.14
2022,1,4,2,0,0,0,0,0,0,0,19.700000000000003,147.39000000000001,0.14
2022,1,4,3,0,0,0,0,0,0,0,19.900000000000002,134.46,0.14
2022,1,4,4,0,0,0,0,0,0,0,19.8,120.9,0.14
2022,1,4,5,0,0,0,0,0,0,0,19.8,107.10000000000001,0.14
2022,1,4,6,0,0,0,0,0,0,0,19.700000000000003,93.28,0.14
2022,1,4,7,0,69,124,302,124,302,69,20.8,79.5,0.14
2022,1,4,8,0,111,355,602,355,602,111,21.900000000000002,66.13,0.14
2022,1,4,9,0,79,579,754,79,0,129,23.8,53.300000000000004,0.14
2022,1,4,10,0,190,757,815,190,0,147,25.8,41.64,0.14
2022,1,4,11,0,480,872,843,693,252,161,26.900000000000002,32.47,0.14
2022,1,4,12,0,163,917,857,917,857,163,27.400000000000002,28.35,0.14
2022,1,4,13,0,164,884,843,884,843,164,27.6,31.36,0.14
2022,1,4,14,0,164,776,799,776,799,164,27.6,39.910000000000004,0.14
2022,1,4,15,0,150,606,729,606,729,150,27.3,51.28,0.14
