Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5076928,-,b'Magdalena',b'Colombia',10.86,-73.73,-5,4800,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,DNI,GHI,Surface Albedo,Solar Zenith Angle
2021,1,1,0,0,0,-1.7000000000000002,0,0,0,0,0,0.22,167.87
2021,1,1,1,0,0,-1.9000000000000001,0,0,0,0,0,0.22,160.97
2021,1,1,2,0,0,-2.1,0,0,0,0,0,0.22,148.61
2021,1,1,3,0,0,-2.2,0,0,0,0,0,0.22,135.13
2021,1,1,4,0,0,-2.3000000000000003,0,0,0,0,0,0.22,121.38
2021,1,1,5,0,0,-2.4000000000000004,0,0,0,0,0,0.22,107.58
2021,1,1,6,0,0,-2.1,0,0,0,0,0,0.22,93.89
2021,1,1,7,0,39,-0.7000000000000001,27,772,156,584,136,0.22,80.39
2021,1,1,8,0,165,1,39,976,413,358,302,0.22,67.43
2021,1,1,9,0,248,3.3000000000000003,46,1050,644,461,511,0.22,55.25
2021,1,1,10,0,51,4.800000000000001,51,1089,826,1089,826,0.22,44.56
2021,1,1,11,0,53,5.9,53,1108,942,1108,942,0.22,36.72
2021,1,1,12,0,56,6.5,56,1113,981,1113,981,0.22,33.79
2021,1,1,13,0,490,6.5,61,1096,937,344,765,0.22,36.97
2021,1,1,14,0,396,5.5,60,1072,819,230,559,0.22,44.97
2021,1,1,15,0,239,4.3,56,1022,631,507,524,0.22,55.75
2021,1,1,16,0,47,3.1,47,933,396,933,396,0.22,67.97
2021,1,1,17,0,30,1.5,30,704,141,704,141,0.22,80.96000000000001
2021,1,1,18,0,0,0.5,0,0,0,0,0,0.22,94.48
2021,1,1,19,0,0,0.1,0,0,0,0,0,0.22,108.18
2021,1,1,20,0,0,-0.2,0,0,0,0,0,0.22,121.98
2021,1,1,21,0,0,-0.5,0,0,0,0,0,0.22,135.74
2021,1,1,22,0,0,-0.9,0,0,0,0,0,0.22,149.20000000000002
2021,1,1,23,0,0,-1.3,0,0,0,0,0,0.22,161.5
2021,1,2,0,0,0,-1.6,0,0,0,0,0,0.22,167.96
2021,1,2,1,0,0,-1.9000000000000001,0,0,0,0,0,0.22,161.11
