Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5386373,-,b'La Guajira',b'Colombia',11.72,-71.97,-5,45,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DHI,Clearsky GHI,Clearsky DNI,Clearsky DHI,DNI,Temperature,GHI,Surface Albedo,Solar Zenith Angle
2022,1,1,0,0,0,0,0,0,0,25.400000000000002,0,0.22,168.53
2022,1,1,1,0,0,0,0,0,0,25.3,0,0.22,160.14000000000001
2022,1,1,2,0,0,0,0,0,0,25.200000000000003,0,0.22,147.39000000000001
2022,1,1,3,0,0,0,0,0,0,25.3,0,0.22,133.8
2022,1,1,4,0,0,0,0,0,0,25.3,0,0.22,120.02
2022,1,1,5,0,0,0,0,0,0,25.3,0,0.22,106.25
2022,1,1,6,0,0,0,0,0,0,25.5,0,0.22,92.61
2022,1,1,7,0,62,138,406,62,406,26.5,138,0.22,79.18
2022,1,1,8,0,95,367,678,95,678,27.8,367,0.22,66.37
2022,1,1,9,0,112,581,805,112,805,28.8,581,0.22,54.42
2022,1,1,10,0,119,748,877,119,877,29.700000000000003,748,0.22,44.12
2022,1,1,11,0,125,850,906,125,906,30.3,850,0.22,36.89
2022,1,1,12,0,127,877,912,127,912,30.700000000000003,877,0.22,34.730000000000004
2022,1,1,13,0,121,831,907,121,907,30.8,831,0.22,38.5
2022,1,1,14,0,115,709,868,115,868,30.6,709,0.22,46.79
2022,1,1,15,0,104,528,793,104,793,30,528,0.22,57.67
2022,1,1,16,0,83,305,647,83,647,29.1,305,0.22,69.92
2022,1,1,17,0,45,82,298,45,298,27.8,82,0.22,82.87
2022,1,1,18,0,0,0,0,0,0,27,0,0.22,96.44
2022,1,1,19,0,0,0,0,0,0,26.5,0,0.22,110.13
2022,1,1,20,0,0,0,0,0,0,26.200000000000003,0,0.22,123.93
2022,1,1,21,0,0,0,0,0,0,26,0,0.22,137.69
2022,1,1,22,0,0,0,0,0,0,25.700000000000003,0,0.22,151.15
2022,1,1,23,0,0,0,0,0,0,25.6,0,0.22,163.35
2022,1,2,0,0,0,0,0,0,0,25.5,0,0.22,168.63
2022,1,2,1,0,0,0,0,0,0,25.400000000000002,0,0.22,160.27
2022,1,2,2,0,0,0,0,0,0,25.3,0,0.22,147.51
2022,1,2,3,0,0,0,0,0,0,25.3,0,0.22,133.92000000000002
2022,1,2,4,0,0,0,0,0,0,25.200000000000003,0,0.22,120.13
2022,1,2,5,0,0,0,0,0,0,25.1,0,0.22,106.34
2022,1,2,6,0,0,0,0,0,0,25.3,0,0.22,92.7
2022,1,2,7,0,59,139,426,59,426,26.3,139,0.22,79.25
2022,1,2,8,0,91,368,692,91,692,27.6,368,0.22,66.43
2022,1,2,9,0,110,580,807,110,807,28.6,580,0.22,54.46
2022,1,2,10,0,114,748,883,114,883,29.5,748,0.22,44.13
2022,1,2,11,0,129,846,896,129,896,30.1,846,0.22,36.85
2022,1,2,12,0,136,872,895,136,895,30.5,872,0.22,34.64
2022,1,2,13,0,123,828,899,123,899,30.6,828,0.22,38.38
2022,1,2,14,0,119,709,859,119,859,30.400000000000002,709,0.22,46.65
2022,1,2,15,0,108,527,781,108,781,29.8,527,0.22,57.53
2022,1,2,16,0,89,305,626,89,626,28.8,305,0.22,69.78
2022,1,2,17,0,48,82,271,48,271,27.5,82,0.22,82.74
2022,1,2,18,0,0,0,0,0,0,26.8,0,0.22,96.32000000000001
2022,1,2,19,0,0,0,0,0,0,26.400000000000002,0,0.22,110.02
2022,1,2,20,0,0,0,0,0,0,26,0,0.22,123.82000000000001
2022,1,2,21,0,0,0,0,0,0,25.700000000000003,0,0.22,137.6
2022,1,2,22,0,0,0,0,0,0,25.5,0,0.22,151.08
2022,1,2,23,0,0,0,0,0,0,25.3,0,0.22,163.33
2022,1,3,0,0,0,0,0,0,0,25.1,0,0.22,168.74
2022,1,3,1,0,0,0,0,0,0,24.900000000000002,0,0.22,160.41
2022,1,3,2,0,0,0,0,0,0,24.8,0,0.22,147.64000000000001
2022,1,3,3,0,0,0,0,0,0,24.700000000000003,0,0.22,134.04
2022,1,3,4,0,0,0,0,0,0,24.700000000000003,0,0.22,120.23
2022,1,3,5,0,0,0,0,0,0,24.700000000000003,0,0.22,106.44
2022,1,3,6,0,0,0,0,0,0,25,0,0.22,92.78
2022,1,3,7,0,67,133,356,67,356,26.400000000000002,133,0.22,79.32000000000001
2022,1,3,8,0,110,360,628,110,628,27.700000000000003,360,0.22,66.49
2022,1,3,9,0,135,573,754,135,754,28.8,573,0.22,54.49
2022,1,3,10,0,128,750,865,128,865,29.6,750,0.22,44.12
2022,1,3,11,0,134,853,897,134,897,30.3,853,0.22,36.800000000000004
2022,1,3,12,0,133,885,912,133,912,30.700000000000003,885,0.22,34.53
2022,1,3,13,0,114,844,930,114,930,30.8,844,0.22,38.24
2022,1,3,14,0,108,725,897,108,897,30.6,725,0.22,46.51
2022,1,3,15,0,97,544,830,97,830,30,544,0.22,57.39
2022,1,3,16,0,77,319,696,77,696,29.1,319,0.22,69.65
2022,1,3,17,0,42,90,370,42,370,27.700000000000003,90,0.22,82.61
2022,1,3,18,0,0,0,0,0,0,26.8,0,0.22,96.19
2022,1,3,19,0,0,0,0,0,0,26.3,0,0.22,109.9
2022,1,3,20,0,0,0,0,0,0,25.900000000000002,0,0.22,123.72
2022,1,3,21,0,0,0,0,0,0,25.5,0,0.22,137.5
2022,1,3,22,0,0,0,0,0,0,25.200000000000003,0,0.22,151.01
2022,1,3,23,0,0,0,0,0,0,25,0,0.22,163.31
2022,1,4,0,0,0,0,0,0,0,24.8,0,0.22,168.86
2022,1,4,1,0,0,0,0,0,0,24.6,0,0.22,160.56
2022,1,4,2,0,0,0,0,0,0,24.5,0,0.22,147.77
2022,1,4,3,0,0,0,0,0,0,24.5,0,0.22,134.15
2022,1,4,4,0,0,0,0,0,0,24.5,0,0.22,120.34
2022,1,4,5,0,0,0,0,0,0,24.5,0,0.22,106.53
2022,1,4,6,0,0,0,0,0,0,24.8,0,0.22,92.87
2022,1,4,7,0,60,137,422,60,422,26.200000000000003,137,0.22,79.39
2022,1,4,8,0,92,368,693,92,693,27.6,368,0.22,66.54
2022,1,4,9,0,112,583,811,112,811,28.8,583,0.22,54.52
2022,1,4,10,0,108,760,908,108,908,29.700000000000003,760,0.22,44.12
2022,1,4,11,0,115,863,933,115,933,30.3,863,0.22,36.74
2022,1,4,12,0,118,894,940,118,940,30.6,894,0.22,34.42
2022,1,4,13,0,111,850,938,111,938,30.6,850,0.22,38.1
2022,1,4,14,0,104,729,905,104,905,30.3,729,0.22,46.36
2022,1,4,15,0,94,548,841,94,841,29.8,548,0.22,57.24
2022,1,4,16,0,76,322,703,76,703,28.8,322,0.22,69.51
2022,1,4,17,0,43,91,373,43,373,27.5,91,0.22,82.49
2022,1,4,18,0,0,0,0,0,0,26.700000000000003,0,0.22,96.07000000000001
2022,1,4,19,0,0,0,0,0,0,26.200000000000003,0,0.22,109.79
2022,1,4,20,0,0,0,0,0,0,25.8,0,0.22,123.61
2022,1,4,21,0,0,0,0,0,0,25.5,0,0.22,137.41
2022,1,4,22,0,0,0,0,0,0,25.200000000000003,0,0.22,150.94
2022,1,4,23,0,0,0,0,0,0,25,0,0.22,163.3
2022,1,5,0,0,0,0,0,0,0,24.6,0,0.22,168.98
2022,1,5,1,0,0,0,0,0,0,24.400000000000002,0,0.22,160.70000000000002
2022,1,5,2,0,0,0,0,0,0,24.3,0,0.22,147.9
2022,1,5,3,0,0,0,0,0,0,24.5,0,0.22,134.27
2022,1,5,4,0,0,0,0,0,0,24.6,0,0.22,120.44
2022,1,5,5,0,0,0,0,0,0,24.700000000000003,0,0.22,106.63
2022,1,5,6,0,0,0,0,0,0,24.900000000000002,0,0.22,92.95
2022,1,5,7,0,64,133,378,64,378,26,133,0.22,79.46000000000001
2022,1,5,8,0,99,363,664,99,664,27.1,363,0.22,66.58
2022,1,5,9,0,118,579,794,118,794,28.1,579,0.22,54.54
2022,1,5,10,0,111,757,899,111,899,29.1,757,0.22,44.1
2022,1,5,11,0,119,862,927,119,927,29.700000000000003,862,0.22,36.68
2022,1,5,12,0,121,894,936,121,936,30.1,894,0.22,34.31
2022,1,5,13,0,111,852,940,111,940,30.200000000000003,852,0.22,37.95
2022,1,5,14,0,104,734,911,104,911,30.1,734,0.22,46.2
2022,1,5,15,0,92,554,851,92,851,29.6,554,0.22,57.09
2022,1,5,16,0,73,329,727,73,727,28.6,329,0.22,69.37
2022,1,5,17,0,41,96,416,41,416,27.3,96,0.22,82.36
2022,1,5,18,0,0,0,0,0,0,26.3,0,0.22,95.95
2022,1,5,19,0,0,0,0,0,0,25.8,0,0.22,109.68
2022,1,5,20,0,0,0,0,0,0,25.400000000000002,0,0.22,123.51
2022,1,5,21,0,0,0,0,0,0,25,0,0.22,137.33
2022,1,5,22,0,0,0,0,0,0,24.700000000000003,0,0.22,150.88
2022,1,5,23,0,0,0,0,0,0,24.5,0,0.22,163.29
2022,1,6,0,0,0,0,0,0,0,24.3,0,0.22,169.11
2022,1,6,1,0,0,0,0,0,0,24.1,0,0.22,160.85
2022,1,6,2,0,0,0,0,0,0,23.900000000000002,0,0.22,148.03
2022,1,6,3,0,0,0,0,0,0,23.8,0,0.22,134.38
2022,1,6,4,0,0,0,0,0,0,23.8,0,0.22,120.54
2022,1,6,5,0,0,0,0,0,0,23.8,0,0.22,106.72
2022,1,6,6,0,0,0,0,0,0,24.400000000000002,0,0.22,93.02
2022,1,6,7,0,59,132,402,59,402,25.900000000000002,132,0.22,79.52
2022,1,6,8,0,94,362,677,94,677,27.400000000000002,362,0.22,66.63
2022,1,6,9,0,113,578,802,113,802,28.6,578,0.22,54.56
2022,1,6,10,0,111,752,893,111,893,29.6,752,0.22,44.08
2022,1,6,11,0,120,857,919,120,919,30.400000000000002,857,0.22,36.61
2022,1,6,12,0,123,889,927,123,927,30.900000000000002,889,0.22,34.18
2022,1,6,13,0,119,845,919,119,919,31.1,845,0.22,37.800000000000004
2022,1,6,14,0,112,728,888,112,888,30.900000000000002,728,0.22,46.050000000000004
2022,1,6,15,0,99,549,826,99,826,30.400000000000002,549,0.22,56.94
2022,1,6,16,0,78,325,696,78,696,29.400000000000002,325,0.22,69.23
2022,1,6,17,0,43,95,387,43,387,27.900000000000002,95,0.22,82.23
2022,1,6,18,0,0,0,0,0,0,26.8,0,0.22,95.83
2022,1,6,19,0,0,0,0,0,0,26,0,0.22,109.56
2022,1,6,20,0,0,0,0,0,0,25.5,0,0.22,123.41
2022,1,6,21,0,0,0,0,0,0,25.1,0,0.22,137.24
2022,1,6,22,0,0,0,0,0,0,24.8,0,0.22,150.82
2022,1,6,23,0,0,0,0,0,0,24.6,0,0.22,163.28
2022,1,7,0,0,0,0,0,0,0,24.5,0,0.22,169.25
2022,1,7,1,0,0,0,0,0,0,24.400000000000002,0,0.22,161
2022,1,7,2,0,0,0,0,0,0,24.200000000000003,0,0.22,148.15
2022,1,7,3,0,0,0,0,0,0,24.1,0,0.22,134.49
2022,1,7,4,0,0,0,0,0,0,23.900000000000002,0,0.22,120.64
2022,1,7,5,0,0,0,0,0,0,23.8,0,0.22,106.8
2022,1,7,6,0,0,0,0,0,0,24.1,0,0.22,93.10000000000001
2022,1,7,7,0,62,130,374,62,374,25.700000000000003,130,0.22,79.58
2022,1,7,8,0,98,360,661,98,661,27.1,360,0.22,66.67
2022,1,7,9,0,117,576,791,117,791,28.3,576,0.22,54.57
2022,1,7,10,0,138,743,842,138,842,29.3,743,0.22,44.050000000000004
2022,1,7,11,0,144,849,878,144,878,30.1,849,0.22,36.53
2022,1,7,12,0,143,881,891,143,891,30.6,881,0.22,34.05
2022,1,7,13,0,132,840,895,132,895,30.700000000000003,840,0.22,37.64
2022,1,7,14,0,124,722,860,124,860,30.5,722,0.22,45.89
2022,1,7,15,0,109,542,791,109,791,29.900000000000002,542,0.22,56.79
