Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4483988,-,b'Nariño',b'Colombia',0.82,-77.93,-5,4277,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,DNI,GHI,Solar Zenith Angle,Surface Albedo
2022,1,1,0,0,0,0.9,0,0,0,0,0,157.52,0.11
2022,1,1,1,0,0,0.8,0,0,0,0,0,155.29,0.11
2022,1,1,2,0,0,0.6000000000000001,0,0,0,0,0,146.24,0.11
2022,1,1,3,0,0,0.4,0,0,0,0,0,134.28,0.11
2022,1,1,4,0,0,0.30000000000000004,0,0,0,0,0,121.18,0.11
2022,1,1,5,0,0,-0.1,0,0,0,0,0,107.60000000000001,0.11
2022,1,1,6,0,0,0.1,0,0,0,0,0,93.83,0.11
2022,1,1,7,0,97,1.9000000000000001,36,681,154,16,100,79.98,0.11
2022,1,1,8,0,54,4.2,54,911,420,911,420,66.36,0.11
2022,1,1,9,0,64,5.9,64,1010,671,1010,671,53.08,0.11
2022,1,1,10,0,72,7.1000000000000005,72,1053,872,1053,872,40.6,0.11
2022,1,1,11,0,506,7.800000000000001,79,1070,1005,361,819,30.02,0.11
2022,1,1,12,0,471,7.9,80,1081,1067,12,482,24.07,0.11
2022,1,1,13,0,555,7.4,88,1065,1044,215,748,26.14,0.11
2022,1,1,14,0,248,6.7,85,1047,945,4,251,34.82,0.11
2022,1,1,15,0,127,6,74,1021,776,1,128,46.54,0.11
2022,1,1,16,0,71,5.1000000000000005,65,953,549,0,71,59.49,0.11
2022,1,1,17,0,66,3.8000000000000003,50,812,288,2,67,72.98,0.11
2022,1,1,18,0,23,2.1,20,368,42,2,23,86.63,0.11
2022,1,1,19,0,0,1.4000000000000001,0,0,0,0,0,100.56,0.11
2022,1,1,20,0,0,1.1,0,0,0,0,0,114.27,0.11
2022,1,1,21,0,0,0.8,0,0,0,0,0,127.67,0.11
2022,1,1,22,0,0,0.5,0,0,0,0,0,140.36,0.11
2022,1,1,23,0,0,0.1,0,0,0,0,0,151.27,0.11
2022,1,2,0,0,0,-0.2,0,0,0,0,0,157.58,0.11
