# CRaTER (GCR+SEP) dose rates for individual and combined detectors
#    from 2024-09-24 DOY:268
# through 2024-10-24 DOY:298
#
# Columns are separated by a tab character.
# All dose rate units: cGy / day
# All dose rates have a silicon to water correction applied and are altitude corrected to the lunar surface.
#
# column_titles: Julian Date,Year,DOY,Year Fraction,H2O Factor,Altitude Factor,Good Event Factor,D1&2 dose rate,D3&4 dose rate,D5&6 dose rate,D1 dose rate,D2 dose rate,D3 dose rate,D4 dose rate,D5 dose rate,D6 dose rate
# column_units: ,,,,,,,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day
# start_year: 2024
# start_doy: 268
# end_year: 2024
# end_doy: 298
#
# Julian Date	Year	DOY	Year Fraction	H2O	Alt.	GE	D1&2 dose rate	D3&4 dose rate	D5&6 dose rate	D1 dose rate	D2 dose rate	D3 dose rate	D4 dose rate	D5 dose rate	D6 dose rate
2460577.520833	2024	268	2024.7295651	1.333	0.778	1.000	5.0287e-02	1.1614e-02	1.5112e-02	5.0585e-02	3.6311e-02	5.9976e-03	9.7398e-03	8.7593e-03	1.2123e-02
2460577.562500	2024	268	2024.7296790	1.333	0.750	1.000	5.6485e-02	1.1707e-02	1.4619e-02	5.7961e-02	4.0080e-02	6.1673e-03	9.9987e-03	9.0373e-03	1.1325e-02
2460577.604166	2024	268	2024.7297928	1.333	0.777	1.000	8.0122e-02	1.1541e-02	1.6552e-02	8.8574e-02	5.5459e-02	5.7651e-03	1.0050e-02	1.0419e-02	1.2987e-02
2460577.645833	2024	268	2024.7299066	1.333	0.750	1.000	8.6065e-02	1.1712e-02	1.6626e-02	9.7165e-02	5.8031e-02	6.0399e-03	9.7599e-03	1.1022e-02	1.2491e-02
2460577.687500	2024	268	2024.7300205	1.333	0.777	1.000	7.9947e-02	1.1232e-02	1.7010e-02	8.8908e-02	5.4960e-02	5.6247e-03	1.0068e-02	1.0789e-02	1.2868e-02
2460577.729166	2024	268	2024.7301343	1.333	0.751	1.000	1.0362e-01	1.1815e-02	1.6803e-02	1.2066e-01	6.8655e-02	6.2533e-03	1.0396e-02	1.1224e-02	1.2579e-02
2460577.770833	2024	268	2024.7302482	1.333	0.776	1.000	8.1864e-02	1.1123e-02	1.5988e-02	9.3340e-02	5.4888e-02	5.3198e-03	1.0226e-02	1.0227e-02	1.2125e-02
2460577.812500	2024	268	2024.7303620	1.333	0.752	1.000	1.0300e-01	1.1629e-02	1.5830e-02	1.2225e-01	6.7409e-02	6.1822e-03	9.9217e-03	1.0327e-02	1.2005e-02
2460577.854166	2024	268	2024.7304759	1.333	0.775	1.000	7.8935e-02	1.2517e-02	1.5102e-02	9.0811e-02	5.2480e-02	6.7035e-03	1.0383e-02	9.4091e-03	1.1786e-02
2460577.895833	2024	268	2024.7305897	1.333	0.753	1.000	7.4753e-02	1.0711e-02	1.4147e-02	8.6292e-02	5.0303e-02	5.2258e-03	9.8099e-03	8.5789e-03	1.1495e-02
2460577.937500	2024	268	2024.7307036	1.333	0.773	1.000	6.8563e-02	1.0941e-02	1.3835e-02	7.7643e-02	4.5725e-02	5.2794e-03	1.0024e-02	8.2812e-03	1.1401e-02
2460577.979166	2024	268	2024.7308174	1.333	0.754	1.000	6.5015e-02	1.0603e-02	1.5105e-02	7.4069e-02	4.4083e-02	5.1320e-03	9.7258e-03	9.0930e-03	1.2230e-02
2460578.020833	2024	268	2024.7309312	1.333	0.772	1.000	6.4236e-02	1.1296e-02	1.3844e-02	7.3429e-02	4.2401e-02	5.5241e-03	9.9700e-03	8.1396e-03	1.1444e-02
2460578.062500	2024	268	2024.7310451	1.333	0.755	1.000	6.6372e-02	1.1684e-02	1.3382e-02	7.6867e-02	4.3878e-02	6.0591e-03	1.0046e-02	7.7077e-03	1.1211e-02
2460578.104166	2024	268	2024.7311589	1.333	0.771	1.000	6.0583e-02	1.1845e-02	1.3533e-02	6.9562e-02	4.0146e-02	6.1713e-03	1.0330e-02	7.8444e-03	1.1571e-02
2460578.145833	2024	268	2024.7312728	1.333	0.756	1.000	6.3635e-02	1.2142e-02	1.4535e-02	7.4143e-02	4.1347e-02	6.4264e-03	1.0165e-02	8.8521e-03	1.1153e-02
2460578.187500	2024	268	2024.7313866	1.333	0.769	1.000	5.8772e-02	1.1904e-02	2.2708e-02	6.8109e-02	3.8638e-02	6.1647e-03	1.0193e-02	1.0265e-02	2.0434e-02
2460578.229166	2024	268	2024.7315005	1.333	0.758	1.000	6.2518e-02	1.1090e-02	2.2100e-02	7.2851e-02	4.0361e-02	5.4497e-03	1.0073e-02	1.0456e-02	1.9567e-02
2460578.270833	2024	268	2024.7316143	1.333	0.767	1.000	5.1533e-02	1.1433e-02	2.5952e-02	5.7808e-02	3.4186e-02	5.7788e-03	1.0151e-02	1.1272e-02	2.3182e-02
2460578.312500	2024	268	2024.7317281	1.333	0.759	1.000	5.9154e-02	1.0939e-02	1.9102e-02	6.8576e-02	3.8592e-02	5.4605e-03	9.8488e-03	8.9884e-03	1.6785e-02
2460578.354166	2024	268	2024.7318420	1.333	0.766	1.000	5.5037e-02	1.1804e-02	2.6912e-02	6.3458e-02	3.6600e-02	6.0893e-03	1.0117e-02	1.2154e-02	2.3374e-02
2460578.395833	2024	268	2024.7319558	1.333	0.761	1.000	6.2373e-02	1.1080e-02	1.6055e-02	7.3925e-02	4.0846e-02	5.4308e-03	1.0072e-02	8.7588e-03	1.3046e-02
2460578.437500	2024	268	2024.7320697	1.333	0.764	1.000	5.2169e-02	1.1550e-02	2.9064e-02	5.9896e-02	3.4519e-02	5.8441e-03	1.0266e-02	1.2442e-02	2.5567e-02
2460578.479166	2024	268	2024.7321835	1.333	0.763	1.000	5.7379e-02	1.1119e-02	1.5050e-02	6.7415e-02	3.7774e-02	5.3862e-03	1.0194e-02	8.1661e-03	1.2309e-02
2460578.520833	2024	269	2024.7322974	1.333	0.762	1.000	5.5425e-02	1.1588e-02	1.3471e-02	6.5105e-02	3.6140e-02	6.0070e-03	9.9732e-03	7.6516e-03	1.1291e-02
2460578.562500	2024	269	2024.7324112	1.333	0.765	1.000	5.5948e-02	1.1441e-02	1.3579e-02	6.5983e-02	3.6555e-02	5.8021e-03	9.9393e-03	7.9369e-03	1.1033e-02
2460578.604166	2024	269	2024.7325250	1.333	0.760	1.000	5.6948e-02	1.1453e-02	1.3625e-02	6.7640e-02	3.6661e-02	5.8620e-03	9.8953e-03	7.9002e-03	1.1196e-02
2460578.645833	2024	269	2024.7326389	1.333	0.767	1.000	6.8530e-02	1.0772e-02	1.2824e-02	8.5548e-02	4.2486e-02	5.0711e-03	9.7560e-03	7.1500e-03	1.0995e-02
2460578.687500	2024	269	2024.7327527	1.333	0.758	1.000	7.0738e-02	1.0943e-02	1.3805e-02	8.8247e-02	4.3784e-02	5.3221e-03	9.8529e-03	8.0999e-03	1.1156e-02
2460578.729166	2024	269	2024.7328666	1.333	0.769	1.000	6.6330e-02	1.0988e-02	1.3564e-02	8.1785e-02	4.1482e-02	5.2293e-03	1.0101e-02	7.7990e-03	1.1102e-02
