cobalto;;
Long. Onda (nm);%R;
2500;17,24248695;
2499;17,20637131;
2498;17,25340652;
2497;17,31297302;
2496;17,26745987;
2495;17,15556908;
2494;17,3326149;
2493;17,2788372;
2492;17,24383926;
2491;17,24031258;
2490;17,26549339;
2489;17,37167168;
2488;17,28627014;
2487;17,25655174;
2486;17,23270416;
2485;17,23915863;
2484;17,28569794;
2483;17,25795937;
2482;17,28905487;
2481;17,20641136;
2480;17,25741577;
2479;17,27021027;
2478;17,32050133;
2477;17,30261421;
2476;17,27865601;
2475;17,29629517;
2474;17,29669189;
2473;17,27107239;
2472;17,25899887;
2471;17,30626488;
2470;17,30763054;
2469;17,17570496;
2468;17,29676056;
2467;17,29952049;
2466;17,31105614;
2465;17,32056046;
2464;17,28670502;
2463;17,28611565;
2462;17,37399101;
2461;17,30444336;
2460;17,26270676;
2459;17,34936714;
2458;17,36035156;
2457;17,28538513;
2456;17,27150154;
2455;17,32473373;
2454;17,29677582;
2453;17,30190277;
2452;17,33117676;
2451;17,29389572;
2450;17,30517387;
2449;17,30652618;
2448;17,31645393;
2447;17,36187553;
2446;17,32269478;
2445;17,26791382;
2444;17,33851242;
2443;17,29297256;
2442;17,29794502;
2441;17,35767746;
2440;17,27106667;
2439;17,26608658;
2438;17,26978683;
2437;17,35269356;
2436;17,33610725;
2435;17,34426117;
2434;17,34431076;
2433;17,30574799;
2432;17,36800003;
2431;17,33789063;
2430;17,34221458;
2429;17,3815918;
2428;17,31305885;
2427;17,36026001;
2426;17,34227562;
2425;17,31394005;
2424;17,31433487;
2423;17,3407383;
2422;17,34652901;
2421;17,36889267;
2420;17,36507034;
2419;17,31780815;
2418;17,33773613;
2417;17,35666847;
2416;17,3817215;
2415;17,38567352;
2414;17,33485222;
2413;17,38258362;
2412;17,33589554;
2411;17,34398651;
2410;17,36467552;
2409;17,34755325;
2408;17,3952179;
2407;17,42673874;
2406;17,41715431;
2405;17,38584137;
2404;17,40444374;
2403;17,36392975;
2402;17,37528229;
2401;17,35871887;
2400;17,37245941;
2399;17,4389801;
2398;17,42932892;
2397;17,36765671;
2396;17,41109657;
2395;17,39088058;
2394;17,42267227;
2393;17,43276787;
2392;17,38478661;
2391;17,4218483;
2390;17,39251328;
2389;17,4274044;
2388;17,44185448;
2387;17,4133873;
2386;17,43365288;
2385;17,4309845;
2384;17,44836044;
2383;17,45406914;
2382;17,42452621;
2381;17,43899155;
2380;17,44298553;
2379;17,48257828;
2378;17,44450569;
2377;17,48027802;
2376;17,41961861;
2375;17,47977066;
2374;17,45432854;
2373;17,47190857;
2372;17,51251793;
2371;17,47619247;
2370;17,49628258;
2369;17,50858688;
2368;17,50335312;
2367;17,51902008;
2366;17,54602623;
2365;17,52130318;
2364;17,53252792;
2363;17,56417084;
