cobalto-a;;
Long. Onda (nm);Abs;
2500;0,7606466413;
2499;0,7621300817;
2498;0,7617399096;
2497;0,7620180845;
2496;0,7641199827;
2495;0,7626436353;
2494;0,7631412148;
2493;0,7639096379;
2492;0,7636945844;
2491;0,765984118;
2490;0,7631120086;
2489;0,7640004158;
2488;0,7634527087;
2487;0,7643472552;
2486;0,7641459107;
2485;0,7642462254;
2484;0,7648556232;
2483;0,764126718;
2482;0,7638397813;
2481;0,7635049224;
2480;0,7644249797;
2479;0,7648006678;
2478;0,7653454542;
2477;0,7634806037;
2476;0,7633414865;
2475;0,7645433545;
2474;0,7638122439;
2473;0,7622558475;
2472;0,7637978792;
2471;0,7637437582;
2470;0,7648060918;
2469;0,7667977214;
2468;0,7641265988;
2467;0,7631359696;
2466;0,7620508075;
2465;0,7644537687;
2464;0,7638220191;
2463;0,7641676068;
2462;0,7646143436;
2461;0,7620972991;
2460;0,7631824017;
2459;0,7622033358;
2458;0,7621041536;
2457;0,7654035687;
2456;0,7640497684;
2455;0,7631073594;
2454;0,7636200786;
2453;0,7643742561;
2452;0,764469564;
2451;0,7640961409;
2450;0,7630322576;
2449;0,7641712427;
2448;0,7629836798;
2447;0,7641144991;
2446;0,7627509236;
2445;0,7626283765;
2444;0,761918962;
2443;0,7631031275;
2442;0,7643565536;
2441;0,7632191777;
2440;0,7630645037;
2439;0,7629261017;
2438;0,7638052702;
2437;0,7619066834;
2436;0,7615320683;
2435;0,761903286;
2434;0,7622918487;
2433;0,763633132;
2432;0,7634019256;
2431;0,7624889016;
2430;0,7619322538;
2429;0,7619412541;
2428;0,7627038956;
2427;0,7616650462;
2426;0,763004005;
2425;0,7632013559;
2424;0,762603581;
2423;0,7632616758;
2422;0,7630907297;
2421;0,7630247474;
2420;0,763053894;
2419;0,7618268728;
2418;0,7624663115;
2417;0,7627307773;
2416;0,7636820674;
2415;0,7626452446;
2414;0,7631180882;
2413;0,7627119422;
2412;0,7629798055;
2411;0,7618911266;
2410;0,762802124;
2409;0,7630836964;
2408;0,7632998824;
2407;0,7623919249;
2406;0,7627100945;
2405;0,7619683743;
2404;0,7628754377;
2403;0,7631097436;
2402;0,7621753216;
2401;0,7632812858;
2400;0,7624819875;
2399;0,762952745;
2398;0,7621059418;
2397;0,7614169121;
2396;0,7618072033;
2395;0,7623693347;
2394;0,7615961432;
2393;0,7628042698;
2392;0,7624810338;
