"A_x","A_y","B_x","B_y","C_x","C_y","AB_x","AB_y","ABCD_x","ABCD_y"
0.5835857391,16397,0.5835857391,20399,0.5835857391,0,0.5835857391,640,0.5835857391,0,
1.572889328,16527,1.572889328,20301,1.572889328,0,1.572889328,637,1.572889328,0,
2.589424133,16755,2.589424133,20412,2.589424133,0,2.589424133,641,2.589424133,0,
3.616142988,16589,3.616142988,20511,3.616142988,0,3.616142988,688,3.616142988,0,
4.615922451,16598,4.615922451,20559,4.615922451,0,4.615922451,650,4.615922451,0,
5.589241982,16417,5.589241982,20487,5.589241982,0,5.589241982,626,5.589241982,0,
6.572454453,16332,6.572454453,20679,6.572454453,0,6.572454453,686,6.572454453,0,
7.58378911,16556,7.58378911,20408,7.58378911,0,7.58378911,628,7.58378911,0,
8.584471226,16614,8.584471226,20596,8.584471226,0,8.584471226,636,8.584471226,0,
9.579765081,16708,9.579765081,20458,9.579765081,0,9.579765081,670,9.579765081,0,
10.5790453,16562,10.5790453,20443,10.5790453,0,10.5790453,673,10.5790453,0,
11.57287383,16634,11.57287383,20798,11.57287383,0,11.57287383,696,11.57287383,0,
12.58327985,16643,12.58327985,20257,12.58327985,0,12.58327985,649,12.58327985,0,
13.57340527,16648,13.57340527,20346,13.57340527,0,13.57340527,649,13.57340527,0,
14.58338737,16452,14.58338737,20615,14.58338737,0,14.58338737,636,14.58338737,0,
15.58330584,16580,15.58330584,20533,15.58330584,0,15.58330584,667,15.58330584,0,
16.60758209,16661,16.60758209,20477,16.60758209,0,16.60758209,676,16.60758209,0,
17.57252693,16458,17.57252693,20581,17.57252693,0,17.57252693,687,17.57252693,0,
18.58320427,16598,18.58320427,20671,18.58320427,0,18.58320427,667,18.58320427,0,
19.5834794,16774,19.5834794,20428,19.5834794,0,19.5834794,662,19.5834794,0,
20.58284616,16478,20.58284616,20596,20.58284616,0,20.58284616,673,20.58284616,0,
21.57288575,16593,21.57288575,20431,21.57288575,0,21.57288575,644,21.57288575,0,
22.57292151,16567,22.57292151,20511,22.57292151,0,22.57292151,651,22.57292151,0,
